Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year,Fit
Hard,1st Round,Muguruza G.,Mchale C.,63,66,933,882,2014,1
Hard,1st Round,Meusburger Y.,Barthel M.,49,34,1138,1545,2014,1
Hard,1st Round,Pliskova Ka.,Ormaechea P.,71,62,839,954,2014,1
Hard,1st Round,Hampton J.,Paszek T.,28,179,1781,355,2014,1
Hard,1st Round,Larsson J.,Dominguez Lino L.,84,69,753,842,2014,1
Hard,1st Round,Nara K.,Cadantu A.,81,61,778,967,2014,1
Hard,1st Round,Williams V.,Hlavackova A.,47,134,1147,470,2014,1
Hard,1st Round,Pliskova Kr.,Wickmayer Y.,130,51,487,1127,2014,1
Hard,1st Round,Flipkens K.,Puig M.,20,56,2495,1061,2014,1
Hard,1st Round,Ishizu S.,Kontaveit A.,204,249,311,240,2014,1
Hard,1st Round,Ivanovic A.,Riske A.,16,57,2850,1060,2014,1
Hard,1st Round,Morita A.,Safarova L.,60,29,1022,1775,2014,1
Hard,1st Round,Davis L.,Erakovic M.,70,46,841,1150,2014,1
Hard,1st Round,Goerges J.,Knapp K.,72,41,836,1237,2014,1
Hard,1st Round,Konjuh A.,Vinci R.,259,14,225,3170,2014,1
Hard,2nd Round,Nara K.,Morita A.,81,60,778,1022,2014,1
Hard,2nd Round,Flipkens K.,Pliskova Ka.,20,71,2495,839,2014,1
Hard,2nd Round,Muguruza G.,Fichman S.,63,116,933,576,2014,1
Hard,2nd Round,Hampton J.,Pliskova Kr.,28,130,1781,487,2014,1
Hard,2nd Round,Williams V.,Meusburger Y.,47,49,1147,1138,2014,1
Hard,2nd Round,Ishizu S.,Goerges J.,204,72,311,836,2014,1
Hard,2nd Round,Ivanovic A.,Larsson J.,16,84,2850,753,2014,1
Hard,2nd Round,Davis L.,Konjuh A.,70,259,841,225,2014,1
Hard,Quarterfinals,Flipkens K.,Ishizu S.,20,204,2495,311,2014,1
Hard,Quarterfinals,Ivanovic A.,Nara K.,16,81,2850,778,2014,1
Hard,Quarterfinals,Williams V.,Muguruza G.,47,63,1147,933,2014,1
Hard,Semifinals,Ivanovic A.,Flipkens K.,16,20,2850,2495,2014,1
Hard,Semifinals,Williams V.,Hampton J.,47,28,1147,1781,2014,1
Hard,The Final,Ivanovic A.,Williams V.,16,47,2850,1147,2014,1
Hard,1st Round,Svitolina E.,Lepchenko V.,45,54,1160,1087,2014,1
Hard,1st Round,Lisicki S.,Rybarikova M.,15,37,2920,1450,2014,1
Hard,1st Round,Voegele S.,Keys M.,50,38,1130,1380,2014,1
Hard,1st Round,Petkovic A.,Mattek-Sands B.,43,48,1217,1144,2014,1
Hard,1st Round,Kanepi K.,Panova A.,30,135,1768,469,2014,1
Hard,1st Round,Cibulkova D.,Watson H.,23,121,2076,530,2014,1
Hard,1st Round,Suarez Navarro C.,Hsieh S.W.,17,86,2735,750,2014,1
Hard,1st Round,Dellacqua C.,Voskoboeva G.,142,67,448,877,2014,1
Hard,1st Round,Barty A.,Hantuchova D.,190,33,333,1575,2014,1
Hard,1st Round,Pavlyuchenkova A.,Kudryavtseva A.,26,170,1965,376,2014,1
Hard,1st Round,Sharapova M.,Garcia C.,4,74,5891,811,2014,1
Hard,1st Round,Kerber A.,Mladenovic K.,9,55,3965,1075,2014,1
Hard,2nd Round,Jankovic J.,Svitolina E.,8,45,4170,1160,2014,1
Hard,2nd Round,Williams S.,Petkovic A.,1,43,13260,1217,2014,1
Hard,2nd Round,Kanepi K.,Suarez Navarro C.,30,17,1768,2735,2014,1
Hard,2nd Round,Sharapova M.,Barty A.,4,190,5891,333,2014,1
Hard,2nd Round,Voegele S.,Lisicki S.,50,15,1130,2920,2014,1
Hard,2nd Round,Kerber A.,Pavlyuchenkova A.,9,26,3965,1965,2014,1
Hard,Quarterfinals,Sharapova M.,Kanepi K.,4,30,5891,1768,2014,1
Hard,Quarterfinals,Williams S.,Cibulkova D.,1,23,13260,2076,2014,1
Hard,Quarterfinals,Jankovic J.,Kerber A.,8,9,4170,3965,2014,1
Hard,Quarterfinals,Azarenka V.,Voegele S.,2,50,8046,1130,2014,1
Hard,Semifinals,Azarenka V.,Jankovic J.,2,8,8046,4170,2014,1
Hard,Semifinals,Williams S.,Sharapova M.,1,4,13260,5891,2014,1
Hard,The Final,Williams S.,Azarenka V.,1,2,13260,8046,2014,1
Hard,1st Round,Soler Espinosa S.,Tsurenko L.,82,68,773,872,2014,1
Hard,1st Round,Peng S.,Liu F.,42,314,1228,158,2014,1
Hard,1st Round,King V.,Martic P.,85,107,751,608,2014,1
Hard,1st Round,Beck A.,Tomljanovic A.,58,73,1046,830,2014,1
Hard,1st Round,Zakopalova K.,Vekic D.,35,96,1535,696,2014,1
Hard,1st Round,Mayr P.,Ozaki R.,92,193,714,326,2014,1
Hard,1st Round,Zheng J.,Peer S.,53,77,1103,801,2014,1
Hard,1st Round,Zahlavova Strycova B.,Govortsova O.,94,93,704,710,2014,1
Hard,1st Round,Cepelova J.,Kichenok L.,76,198,801,319,2014,1
Hard,1st Round,Errani S.,Zheng S.,7,145,4435,435,2014,1
Hard,1st Round,Golubic V.,Wozniak A.,196,288,321,183,2014,1
Hard,1st Round,Friedsam A.L.,Jovanovski B.,122,36,526,1485,2014,1
Hard,1st Round,Chan Y.J.,Zhang S.,257,52,229,1113,2014,1
Hard,1st Round,Kichenok N.,Babos T.,101,88,643,735,2014,1
Hard,1st Round,Niculescu M.,Schmiedlova A.,59,83,1035,764,2014,1
Hard,1st Round,Li N.,Zvonareva V.,3,964,6045,12,2014,1
Hard,2nd Round,Peng S.,Soler Espinosa S.,42,82,1228,773,2014,1
Hard,2nd Round,Beck A.,Golubic V.,58,196,1046,321,2014,1
Hard,2nd Round,Mayr P.,Zakopalova K.,92,35,714,1535,2014,1
Hard,2nd Round,Niculescu M.,Chan Y.J.,59,257,1035,229,2014,1
Hard,2nd Round,Cepelova J.,Friedsam A.L.,76,122,801,526,2014,1
Hard,2nd Round,Li N.,Kichenok N.,3,101,6045,643,2014,1
Hard,2nd Round,King V.,Errani S.,85,7,751,4435,2014,1
Hard,Quarterfinals,Li N.,Niculescu M.,3,59,6045,1035,2014,1
Hard,Quarterfinals,King V.,Zahlavova Strycova B.,85,94,751,704,2014,1
Hard,Quarterfinals,Beck A.,Mayr P.,58,92,1046,714,2014,1
Hard,Semifinals,Peng S.,King V.,42,85,1228,751,2014,1
Hard,Semifinals,Li N.,Beck A.,3,58,6045,1046,2014,1
Hard,The Final,Li N.,Peng S.,3,42,6045,1228,2014,1
Hard,1st Round,Barthel M.,Svitolina E.,35,45,1445,1185,2014,1
Hard,1st Round,Dellacqua C.,Van Uytvanck A.,125,112,503,594,2014,1
Hard,1st Round,Zhang S.,Zheng J.,51,49,1113,1132,2014,1
Hard,1st Round,Cabeza-Candela E.,Knapp K.,114,42,578,1230,2014,1
Hard,1st Round,Riske A.,Pavlyuchenkova A.,55,30,1060,1715,2014,1
Hard,1st Round,Jovanovski B.,Beck A.,34,53,1445,1086,2014,1
Hard,1st Round,Mladenovic K.,Soler Espinosa S.,54,79,1075,787,2014,1
Hard,1st Round,Stosur S.,Brengle M.,17,147,2675,424,2014,1
Hard,1st Round,Wickmayer Y.,Robson L.,61,46,957,1183,2014,1
Hard,1st Round,Rogowska O.,Cadantu A.,176,59,359,967,2014,1
Hard,1st Round,Flipkens K.,Erakovic M.,19,50,2535,1132,2014,1
Hard,1st Round,Zakopalova K.,Meusburger Y.,37,47,1365,1158,2014,1
Hard,1st Round,Niculescu M.,Rybarikova M.,60,33,965,1450,2014,1
Hard,1st Round,Sanders S.,Peng S.,234,39,258,1278,2014,1
Hard,1st Round,Vesnina E.,Puig M.,24,57,1995,995,2014,1
Hard,2nd Round,Riske A.,Dellacqua C.,55,125,1060,503,2014,1
Hard,2nd Round,Jovanovski B.,Rogowska O.,34,176,1445,359,2014,1
Hard,2nd Round,Cabeza-Candela E.,Vesnina E.,114,24,578,1995,2014,1
Hard,2nd Round,Zakopalova K.,Zhang S.,37,51,1365,1113,2014,1
Hard,2nd Round,Stosur S.,Mladenovic K.,17,54,2675,1075,2014,1
Hard,2nd Round,Flipkens K.,Sanders S.,19,234,2535,258,2014,1
Hard,2nd Round,Niculescu M.,Barthel M.,60,35,965,1445,2014,1
Hard,2nd Round,Muguruza G.,Wickmayer Y.,58,61,992,957,2014,1
Hard,Quarterfinals,Zakopalova K.,Riske A.,37,55,1365,1060,2014,1
