Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year
Hard,1st Round,Fichman S.,Cirstea S.,116,22,576,2170,2014
Hard,Quarterfinals,Hampton J.,Davis L.,28,70,1781,841,2014
Hard,1st Round,Date Krumm K.,Rogowska O.,75,175,806,359,2014
Hard,1st Round,Jankovic J.,Schiavone F.,8,39,4170,1250,2014
Hard,2nd Round,Cibulkova D.,Date Krumm K.,23,75,2076,806,2014
Hard,2nd Round,Azarenka V.,Dellacqua C.,2,142,8046,448,2014
Hard,2nd Round,Zahlavova Strycova B.,Zheng J.,94,53,704,1103,2014
Hard,Quarterfinals,Peng S.,Cepelova J.,42,76,1228,801,2014
Hard,1st Round,Muguruza G.,Mestach A.S.,58,142,992,446,2014
Hard,Quarterfinals,Stosur S.,Jovanovski B.,17,34,2675,1445,2014
Hard,1st Round,Davis L.,Gajdosova J.,67,265,871,210,2014
Hard,1st Round,Hantuchova D.,Watson H.,33,121,1475,525,2014
Hard,1st Round,Ivanovic A.,Bertens K.,14,93,3010,697,2014
Hard,1st Round,Goerges J.,Errani S.,73,7,836,4435,2014
Hard,1st Round,Safarova L.,Glushko J.,26,90,1775,721,2014
Hard,1st Round,Kumkhum L.,Kvitova P.,88,6,732,4835,2014
Hard,1st Round,Lisicki S.,Lucic M.,15,111,2915,607,2014
Hard,1st Round,Azarenka V.,Larsson J.,2,91,8151,706,2014
Hard,2nd Round,Safarova L.,Hradecka L.,26,146,1775,431,2014
Hard,2nd Round,Bouchard E.,Razzano V.,31,100,1629,666,2014
Hard,2nd Round,Davis L.,Goerges J.,68,73,865,836,2014
Hard,2nd Round,Diyas Z.,Erakovic M.,152,52,414,1121,2014
Hard,2nd Round,Radwanska A.,Govortsova O.,5,98,5470,681,2014
Hard,3rd Round,Makarova E.,Niculescu M.,22,64,2061,955,2014
Hard,3rd Round,Ivanovic A.,Stosur S.,14,17,3010,2675,2014
Hard,4th Round,Pennetta F.,Kerber A.,29,9,1735,4070,2014
Hard,The Final,Li N.,Cibulkova D.,4,24,5970,1856,2014
Hard,1st Round,Flipkens K.,Barthel M.,21,36,2255,1400,2014
Hard,Quarterfinals,Cornet A.,Petkovic A.,25,39,1870,1280,2014
Hard,1st Round,Goerges J.,Kumkhum L.,102,98,626,642,2014
Hard,2nd Round,Makarova E.,Zvonareva V.,28,992,1801,11,2014
Hard,1st Round,Pliskova Ka.,Buyukakcay C.,53,172,1082,361,2014
Hard,1st Round,Lucic M.,Meusburger Y.,110,38,577,1307,2014
Hard,2nd Round,Beck A.,Pironkova T.,197,52,255,1101,2014
Hard,2nd Round,Niculescu M.,Mattek-Sands B.,54,42,1080,1256,2014
Hard,2nd Round,Radwanska A.,Cirstea S.,4,26,5750,1950,2014
Hard,3rd Round,Halep S.,Beck A.,10,197,3760,255,2014
Hard,The Final,Williams V.,Cornet A.,44,26,1237,1985,2014
Clay,1st Round,Pereira T.,Cadantu A.,98,60,648,960,2014
Clay,1st Round,Cepede Royg V.,Goncalves P.C.,182,309,335,152,2014
Clay,2nd Round,Begu I.,Cepede Royg V.,145,182,438,335,2014
Clay,2nd Round,Cibulkova D.,Wickmayer Y.,13,57,3056,997,2014
Clay,2nd Round,Tomljanovic A.,Duval V.,74,157,808,409,2014
Clay,2nd Round,Erakovic M.,Jovanovski B.,69,42,838,1265,2014
Hard,1st Round,Pfizenmaier D.,Mayr P.,84,78,730,774,2014
Hard,1st Round,Pereira T.,Torro Flor M.T.,103,66,612,851,2014
Hard,1st Round,Nara K.,Kiick A.,47,162,1190,380,2014
Hard,2nd Round,Beck A.,Vesnina E.,48,35,1175,1465,2014
Hard,2nd Round,Dellacqua C.,Flipkens K.,78,20,765,2285,2014
Hard,2nd Round,Ivanovic A.,Svitolina E.,13,43,3155,1233,2014
Hard,2nd Round,Cibulkova D.,Vekic D.,11,103,3335,606,2014
Hard,2nd Round,Kleybanova A.,Muguruza G.,142,32,454,1563,2014
Hard,2nd Round,Sharapova M.,Goerges J.,5,86,5206,706,2014
Hard,3rd Round,Bouchard E.,Errani S.,19,10,2379,4015,2014
Hard,3rd Round,Kleybanova A.,Torro Flor M.T.,142,72,454,822,2014
Hard,4th Round,Jankovic J.,Wozniacki C.,8,12,4380,3185,2014
Hard,4th Round,Dellacqua C.,Davis L.,78,66,765,875,2014
Hard,4th Round,Pennetta F.,Giorgi C.,21,79,2260,753,2014
Hard,1st Round,Pironkova T.,Voskoboeva G.,47,63,1200,947,2014
Hard,1st Round,Scheepers C.,Soler Espinosa S.,78,90,755,677,2014
Hard,1st Round,Mayr P.,Knapp K.,80,50,720,1164,2014
Hard,1st Round,Meusburger Y.,Dominguez Lino L.,39,77,1312,787,2014
Hard,1st Round,Petkovic A.,Torro Flor M.T.,37,71,1340,867,2014
Hard,3rd Round,Vandeweghe C.,Stosur S.,104,20,605,2420,2014
Hard,4th Round,Li N.,Suarez Navarro C.,2,17,7185,2620,2014
Clay,1st Round,Safarova L.,Larsson J.,26,124,1940,505,2014
Clay,2nd Round,Svitolina E.,Stephens S.,35,18,1338,2550,2014
Clay,3rd Round,Cepelova J.,Vesnina E.,78,34,781,1380,2014
Hard,1st Round,Babos T.,Hermoso X.,108,454,586,81,2014
Hard,1st Round,Wozniak A.,Zacarias M.,172,398,356,98,2014
Hard,1st Round,Ivanovic A.,Radwanska U.,13,65,3120,911,2014
Hard,2nd Round,Date Krumm K.,Babos T.,98,108,631,586,2014
Hard,2nd Round,Puig M.,Gibbs N.,54,182,1005,333,2014
Hard,2nd Round,Ivanovic A.,Wozniak A.,13,172,3120,356,2014
Hard,Quarterfinals,Date Krumm K.,Puig M.,98,54,631,1005,2014
Hard,Quarterfinals,Jaksic J.,Boserup J.,137,302,468,153,2014
Clay,1st Round,Scheepers C.,Knapp K.,79,50,785,1144,2014
Clay,1st Round,Irigoyen M.,Kudryavtseva A.,156,117,392,546,2014
Clay,1st Round,Shapatava S.,Pfizenmaier D.,215,82,269,746,2014
Clay,2nd Round,King V.,Irigoyen M.,71,156,845,392,2014
Clay,1st Round,Giorgi C.,Piter K.,69,98,860,640,2014
Clay,1st Round,Pironkova T.,Hlavackova A.,41,113,1260,559,2014
Clay,The Final,Cornet A.,Giorgi C.,22,69,2155,860,2014
Clay,1st Round,Suarez Navarro C.,Makarova E.,16,22,2700,2240,2014
Clay,1st Round,Kuznetsova S.,Barbieri G.,29,228,1513,256,2014
Clay,2nd Round,Radwanska A.,Vinci R.,3,20,5980,2435,2014
Clay,2nd Round,Kuznetsova S.,Halep S.,29,5,1513,4695,2014
Clay,The Final,Sharapova M.,Ivanovic A.,9,12,3961,3280,2014
Clay,1st Round,Wickmayer Y.,Radwanska U.,58,73,957,842,2014
Clay,1st Round,Kuznetsova S.,Zhang S.,29,41,1612,1283,2014
Clay,2nd Round,Bacsinszky T.,Jabeur O.,165,139,384,481,2014
Clay,2nd Round,Vinci R.,Wickmayer Y.,20,58,2460,957,2014
Clay,1st Round,Kvitova P.,Cirstea S.,6,27,4295,1780,2014
Clay,1st Round,Sharapova M.,Koukalova K.,9,31,3961,1485,2014
Clay,1st Round,Li N.,Flipkens K.,2,24,7265,2085,2014
Clay,1st Round,Lisicki S.,Pliskova Ka.,16,63,2645,928,2014
Clay,3rd Round,Halep S.,Lisicki S.,5,16,4695,2645,2014
Clay,Quarterfinals,Kvitova P.,Williams S.,6,1,4295,12375,2014
Clay,1st Round,Lepchenko V.,Peng S.,49,39,1077,1325,2014
Clay,1st Round,Puig M.,Hantuchova D.,60,31,951,1480,2014
Clay,2nd Round,Lepchenko V.,Stephens S.,49,16,1077,2665,2014
Clay,3rd Round,Errani S.,Cetkovska P.,11,69,3400,848,2014
Clay,Quarterfinals,Ivanovic A.,Suarez Navarro C.,13,14,3230,2820,2014
Clay,Semifinals,Errani S.,Jankovic J.,11,8,3400,4130,2014
Clay,1st Round,Bouchard E.,Zahlavova Strycova B.,19,63,2490,944,2014
Clay,2nd Round,Barthel M.,Beck A.,79,49,743,1120,2014
Clay,Semifinals,Pliskova Ka.,Svitolina E.,64,38,933,1355,2014
Clay,1st Round,Lucic M.,Jovanovski B.,107,39,581,1320,2014
Clay,1st Round,Giorgi C.,Cornet A.,51,21,1090,2295,2014
Clay,1st Round,Kerber A.,Piter K.,9,95,3870,648,2014
Clay,1st Round,Goerges J.,Larcherde Brito M.,107,99,580,628,2014
Clay,1st Round,Pavlyuchenkova A.,Date Krumm K.,25,66,1915,890,2014
Clay,1st Round,Rybarikova M.,Radwanska U.,34,79,1390,760,2014
Clay,2nd Round,Suarez Navarro C.,Bacsinszky T.,15,112,2785,547,2014
Clay,2nd Round,Townsend T.,Cornet A.,205,21,282,2085,2014
Clay,3rd Round,Sharapova M.,Ormaechea P.,8,75,4141,778,2014
Clay,Quarterfinals,Bouchard E.,Suarez Navarro C.,16,15,2640,2785,2014
Clay,Quarterfinals,Petkovic A.,Errani S.,27,11,1710,3590,2014
Clay,Semifinals,Sharapova M.,Bouchard E.,8,16,4141,2640,2014
Clay,Semifinals,Halep S.,Petkovic A.,4,27,5140,1710,2014
Grass,1st Round,Zhang S.,Daniilidou E.,36,345,1351,118,2014
Grass,2nd Round,Wozniak A.,Konta J.,135,110,456,587,2014
Grass,Quarterfinals,Ivanovic A.,Koukalova K.,13,33,3305,1495,2014
Grass,2nd Round,Makarova E.,Pavlyuchenkova A.,22,26,2130,1885,2014
Grass,Quarterfinals,Watson H.,Kvitova P.,70,6,790,4570,2014
Grass,2nd Round,Beck A.,Halep S.,55,3,996,6280,2014
Grass,Quarterfinals,Rybarikova M.,Beck A.,39,55,1290,996,2014
Grass,Quarterfinals,Vandeweghe C.,Muguruza G.,69,27,802,1705,2014
Grass,1st Round,Barthel M.,Oprandi R.,59,183,910,329,2014
Grass,1st Round,Bacsinszky T.,Fichman S.,86,85,702,704,2014
Grass,1st Round,Larcherde Brito M.,Kuznetsova S.,104,28,614,1636,2014
Grass,1st Round,Flipkens K.,Paszek T.,24,123,2025,515,2014
Grass,1st Round,Ivanovic A.,Schiavone F.,11,77,3630,735,2014
Grass,1st Round,Diyas Z.,Mladenovic K.,71,107,781,608,2014
Grass,2nd Round,Makarova E.,Doi M.,22,98,2130,650,2014
Grass,2nd Round,Davis L.,Pennetta F.,58,12,920,3324,2014
Grass,2nd Round,Cornet A.,Cetkovska P.,25,61,1995,886,2014
